,Name,Attribute Vector,Percentiles
241,Rodrygo,"[0.31, 0.45, 3.38, 0.28, 0.24, 0.69, 4.64, 39.85, 86.9, 2.87, 5.18, 2.67, 7.18, 9.85, 0.68, 0.48, 1.01, 0.31, 0.53]","[76, 96, 94, 81, 72, 95, 79, 61, 99, 26, 92, 90, 98, 79, 8, 52, 50, 31, 54]"
244,Bukayo Saka,"[0.33, 0.26, 2.46, 0.28, 0.25, 0.5, 4.59, 40.41, 74.5, 3.19, 5.04, 1.96, 6.75, 14.61, 1.71, 0.4, 1.05, 0.5, 0.45]","[79, 69, 71, 77, 74, 73, 77, 65, 48, 36, 90, 71, 95, 98, 72, 38, 53, 59, 46]"
245,Mohamed Salah,"[0.55, 0.5, 3.29, 0.32, 0.24, 0.74, 3.75, 32.38, 77.0, 4.0, 3.31, 1.36, 8.05, 11.68, 0.55, 0.18, 0.55, 0.12, 0.21]","[97, 99, 91, 87, 69, 97, 52, 28, 62, 59, 57, 35, 99, 93, 4, 8, 10, 7, 13]"
250,Jadon Sancho,"[0.29, 0.21, 1.28, 0.12, 0.26, 0.48, 4.66, 41.1, 83.9, 4.04, 4.62, 1.86, 6.02, 9.2, 0.99, 0.41, 1.4, 0.25, 0.17]","[71, 53, 7, 26, 79, 69, 80, 69, 95, 61, 87, 65, 92, 74, 26, 41, 83, 21, 10]"
278,Dominik Szoboszlai,"[0.17, 0.2, 2.12, 0.29, 0.28, 0.48, 5.09, 55.59, 80.0, 5.49, 2.62, 1.69, 1.92, 5.93, 1.54, 0.52, 1.48, 0.9, 0.35]","[35, 47, 48, 85, 84, 71, 91, 95, 80, 87, 30, 58, 5, 25, 63, 57, 89, 87, 33]"
292,Leandro Trossard,"[0.31, 0.25, 2.17, 0.47, 0.28, 0.53, 3.41, 39.13, 73.8, 4.92, 2.99, 1.12, 5.31, 8.69, 0.85, 0.47, 1.4, 0.16, 0.31]","[76, 66, 50, 99, 82, 76, 41, 60, 39, 81, 47, 26, 83, 65, 17, 49, 82, 12, 27]"
301,Nico Williams,"[0.2, 0.17, 2.07, 0.14, 0.22, 0.38, 3.56, 32.23, 66.7, 2.71, 5.9, 2.81, 5.02, 10.88, 1.05, 0.27, 1.36, 0.47, 0.68]","[46, 28, 45, 31, 61, 48, 45, 26, 15, 22, 95, 92, 78, 90, 31, 18, 80, 56, 70]"
305,Florian Wirtz,"[0.2, 0.12, 0.79, 0.4, 0.29, 0.41, 5.66, 58.61, 77.3, 6.71, 3.28, 3.87, 2.98, 7.85, 1.24, 0.05, 1.34, 0.4, 0.1]","[43, 10, 1, 96, 86, 55, 96, 96, 66, 94, 55, 99, 30, 53, 46, 1, 79, 45, 7]"
312,Nicolò Zaniolo,"[0.16, 0.37, 3.6, 0.08, 0.13, 0.5, 3.19, 19.9, 65.4, 2.05, 3.36, 1.23, 5.57, 7.12, 0.66, 0.25, 0.98, 0.0, 0.41]","[32, 93, 97, 14, 22, 72, 29, 1, 11, 6, 60, 31, 87, 41, 6, 15, 49, 1, 40]"
315,Hakim Ziyech,"[0.0, 0.13, 3.12, 0.33, 0.28, 0.42, 4.67, 54.29, 65.0, 6.12, 3.45, 2.0, 3.23, 10.57, 2.23, 0.78, 1.56, 0.56, 0.0]","[1, 13, 89, 90, 81, 57, 81, 91, 10, 94, 63, 73, 32, 88, 92, 82, 91, 64, 1]"
